CODIGO,CAT,NOMBRE,MUNICIPIO,DEPARTAMENTO,ELEV,LON,LAT,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
53115010,SP,Apto Buenaventura,Buenaventura,Valle del Cauca,14,-76.99,3.82,2.80,3.10,3.09,3.51,3.18,3.34,3.72,3.96,3.08,3.23,2.94,2.76,3.23
54075020,CO,Bajo Calima,Buenaventura,Valle del Cauca,50,-76.99,3.95,2.90,2.76,2.45,2.71,2.61,2.49,2.76,2.73,2.26,2.27,2.54,2.75,2.60
53115020,CP,Colpuertos,Buenaventura,Valle del Cauca,10,-77.07,3.88,3.90,3.98,3.78,3.84,3.76,3.88,4.36,4.09,3.65,3.58,3.63,3.57,3.83
54075040,CO,Mision La,Buenaventura,Valle del Cauca,5,-77.28,4.22,2.48,2.83,2.74,2.78,2.64,2.53,2.73,2.76,2.20,2.26,2.12,2.24,2.53
26055070,CP,Univ del Valle,Cali,Valle del Cauca,985,-76.53,3.38,5.43,5.19,4.97,4.56,4.58,5.16,5.96,5.99,5.09,4.55,4.51,4.81,5.07
26095080,CO,Tenerife,El Cerrito,Valle del Cauca,2609,-76.07,3.73,4.98,4.44,3.93,3.17,3.37,4.06,4.50,4.48,3.97,3.46,3.27,4.09,3.98
26075080,AM,Cenicana,Florida,Valle del Cauca,1013,-76.30,3.36,5.80,5.38,5.12,4.62,4.41,5.07,5.52,5.71,5.04,5.10,4.71,5.26,5.14
26095230,AM,Vinculo El,Guadalajara de Buga,Valle del Cauca,979,-76.30,3.84,5.66,5.58,5.05,4.45,4.51,5.05,5.80,5.64,4.79,4.76,4.85,5.24,5.12
26115040,CP,Cent Admo La Union,La Union,Valle del Cauca,920,-76.06,4.53,4.91,4.83,4.94,4.29,4.43,4.64,5.88,5.91,4.92,4.39,4.39,4.48,4.83
26075040,SP,Apto A Bonilla,Palmira,Valle del Cauca,961,-76.39,3.53,5.82,5.57,5.18,4.73,4.60,5.01,5.85,6.08,5.34,5.05,5.07,5.28,5.30
